Gene name,ensembl_gene_id,target_id,pval,qval,b,Log2
Fgd3,ENSMUSG00000037946,ENSMUST00000110087.8,0.0005462431,0.0444465576,0.7801410134,1.1255055712
Fxyd1,ENSMUSG00000036570,ENSMUST00000071697.10,3.64513900334008E-05,0.0047616275,0.7761887355,1.1198036395
Csrp3,ENSMUSG00000030470,ENSMUST00000032658.13,0.0001386318,0.014664205,0.7685212658,1.108741819
Flnc,ENSMUSG00000068699,ENSMUST00000101617.8,1.8061340951561E-12,0.000000001,0.7611295157,1.0980777778
Tnnt3,ENSMUSG00000061723,ENSMUST00000105954.9,3.36408402737018E-11,1.55209532109593E-08,0.757819291,1.093302133
Fhl1,ENSMUSG00000023092,ENSMUST00000114772.8,4.55872851642199E-09,1.42235609373169E-06,0.756475398,1.0913633052
Neb,ENSMUSG00000026950,ENSMUST00000137410.7,1.56942900584872E-12,8.7262264813658E-10,0.7562559958,1.0910467748
Cdh15,ENSMUSG00000031962,ENSMUST00000034443.6,0.000032947,0.0043299361,0.7549411007,1.0891497822
Gpx3,ENSMUSG00000018339,ENSMUST00000082430.9,0.0005806817,0.0465500615,0.7541399591,1.0879939791
Fxyd6,ENSMUSG00000066705,ENSMUST00000085939.7,0.000000002,6.70353671619308E-07,0.7537659799,1.0874544412
Ank3,ENSMUSG00000069601,ENSMUST00000182269.7,4.10417878086042E-05,0.0052045067,0.7486387942,1.0800574758
Cdon,ENSMUSG00000038119,ENSMUST00000042842.5,2.89476519529941E-08,7.74957233055185E-06,0.748373762,1.0796751152
Smad3,ENSMUSG00000032402,ENSMUST00000034973.9,8.03932562193229E-12,4.05415712671606E-09,0.7464154734,1.0768499019
Stim1,ENSMUSG00000030987,ENSMUST00000209255.1,6.4882533960109E-09,1.99566710306097E-06,0.7395145837,1.0668940226
Atp2a2,ENSMUSG00000029467,ENSMUST00000177974.7,1.78083647143961E-05,0.0025405624,0.7378796203,1.0645352689
Usp28,ENSMUSG00000032267,ENSMUST00000215856.1,0.000000012,3.49955632572732E-06,0.7341003292,1.0590829044
Srpk3,ENSMUSG00000002007,ENSMUST00000002081.5,5.04757529462366E-07,0.000107308,0.7333981431,1.0580698641
Mlip,ENSMUSG00000032355,ENSMUST00000184322.7,0.0004475988,0.0375472206,0.7262869878,1.0478106356
Lhfpl2,ENSMUSG00000045312,ENSMUST00000121618.1,3.37751914781561E-06,0.000597876,0.7259176603,1.0472778086
Rras2,ENSMUSG00000055723,ENSMUST00000069449.6,2.0060913901402E-08,5.68641682999936E-06,0.7214293151,1.0408024953
Bmpr1b,ENSMUSG00000052430,ENSMUST00000029948.14,0.0006008272,0.0478529968,0.7158097727,1.0326952094
Akt2,ENSMUSG00000004056,ENSMUST00000051356.11,7.39666862217625E-12,3.77395437029602E-09,0.7149994458,1.0315261547
Ktn1,ENSMUSG00000021843,ENSMUST00000190252.6,0.0004115903,0.0354171801,0.7096049228,1.0237435032
Igfbp5,ENSMUSG00000026185,ENSMUST00000027377.8,4.28041723233621E-09,1.34519865905209E-06,0.7021399992,1.0129738949
Prkcq,ENSMUSG00000026778,ENSMUST00000028118.8,2.56820526818358E-09,0.000000825,0.7001545485,1.010109495
Pdpn,ENSMUSG00000028583,ENSMUST00000030317.13,1.12622586677293E-05,0.0016842514,0.6997891322,1.0095823107
Pdpn,ENSMUSG00000096951,ENSMUST00000181754.7,1.12622586677293E-05,0.0016842514,0.6997891322,1.0095823107
P2rx5,ENSMUSG00000005950,ENSMUST00000006104.9,8.09752329570892E-06,0.0012723967,0.6970292216,1.0056006014
Adcy2,ENSMUSG00000021536,ENSMUST00000022013.7,5.2250366468379E-10,1.98775977488345E-07,0.6944194502,1.0018354971
Mef2c,ENSMUSG00000005583,ENSMUST00000005722.13,0.0002517641,0.0239446468,0.6943186659,1.0016900961
Cdh13,ENSMUSG00000031841,ENSMUST00000117160.1,2.81303551374205E-11,1.31181222790838E-08,0.6939765704,1.0011965565
Inka2,ENSMUSG00000048458,ENSMUST00000066610.7,1.5571693054703E-08,4.47237586814183E-06,0.6926750961,0.999318926
Fhl1,ENSMUSG00000023092,ENSMUST00000114768.9,1.00991665289804E-05,0.0015314362,0.6926460231,0.9992769826
Iba57,ENSMUSG00000049287,ENSMUST00000054523.5,0.000102931,0.0115051881,0.6923627358,0.9988682855
Neb,ENSMUSG00000026950,ENSMUST00000028320.13,0.000000002,6.63834513240924E-07,0.6919049072,0.9982077784
Tenm3,ENSMUSG00000031561,ENSMUST00000033965.13,3.98918708925513E-05,0.0051212609,0.6893731616,0.9945552415
Apod,ENSMUSG00000022548,ENSMUST00000130560.7,0.0001434642,0.0149925295,0.6891991384,0.9943041791
Amot,ENSMUSG00000041688,ENSMUST00000125271.7,5.65453396751958E-09,1.75165345455255E-06,0.6870872965,0.9912574354
Ehd3,ENSMUSG00000024065,ENSMUST00000024860.7,3.63824414416428E-07,7.88935051441303E-05,0.6737559033,0.9720243005
2310057M21Rik,ENSMUSG00000040177,ENSMUST00000059438.10,3.2501178111134E-05,0.004284327,0.671970134,0.96944798
Tubb6,ENSMUSG00000001473,ENSMUST00000001513.6,4.60138322812882E-06,0.0007836386,0.6715106772,0.9687851239
Tlr4,ENSMUSG00000039005,ENSMUST00000048096.11,0.0004649228,0.0389251699,0.6618517928,0.9548502992
Napb,ENSMUSG00000027438,ENSMUST00000136513.1,8.42686742145692E-05,0.0095961514,0.6604954805,0.9528935543
Lsm6,ENSMUSG00000031683,ENSMUST00000146824.1,6.63479420039641E-06,0.00106572,0.6562002178,0.9466968001
Arl6ip5,ENSMUSG00000035199,ENSMUST00000044681.6,3.49853261158423E-10,1.39199872322749E-07,0.6547136602,0.9445521508
Ctsk,ENSMUSG00000028111,ENSMUST00000015664.4,0.0004861969,0.0405497598,0.6480258681,0.9349037063
B4galt5,ENSMUSG00000017929,ENSMUST00000109221.8,2.02715178757406E-05,0.002817806,0.641148779,0.9249821639
Tmem38b,ENSMUSG00000028420,ENSMUST00000030127.12,1.23535184613342E-08,3.57173161433067E-06,0.6397506776,0.9229651299
Sms,ENSMUSG00000071708,ENSMUST00000112529.7,2.31219884523205E-08,6.4280610076198E-06,0.6393731152,0.9224204226
Mpeg1,ENSMUSG00000046805,ENSMUST00000081035.7,1.04886163209976E-06,0.0002115725,0.6368874531,0.9188343702
Fxyd1,ENSMUSG00000036570,ENSMUST00000108110.4,3.18982239886832E-08,8.38420652221333E-06,0.6315765992,0.9111724276
Ivd,ENSMUSG00000027332,ENSMUST00000028807.5,1.71661596173602E-09,5.81624356597887E-07,0.6289084395,0.9073230869
Neb,ENSMUSG00000026950,ENSMUST00000036934.11,0.000000007,2.11092500434727E-06,0.6271565483,0.9047956422
Fxyd6,ENSMUSG00000066705,ENSMUST00000217381.1,4.15177538771454E-08,1.06543400467332E-05,0.6237505677,0.8998818508
Armcx4,ENSMUSG00000049804,ENSMUST00000124226.2,0.0002083909,0.0203094532,0.6202404939,0.8948178848
Jun,ENSMUSG00000052684,ENSMUST00000107094.1,0.00000002,5.68641682999936E-06,0.6193378218,0.8935156041
Cfl2,ENSMUSG00000062929,ENSMUST00000221374.1,0.000000004,1.27443421491361E-06,0.6173971599,0.8907158209
Cdkn1a,ENSMUSG00000023067,ENSMUST00000023829.6,0.000001213,0.0002414813,0.6108185647,0.8812249142
Aspa,ENSMUSG00000020774,ENSMUST00000021119.8,8.39087723377861E-05,0.0095961514,0.6079049511,0.8770214582
Fam19a5,ENSMUSG00000054863,ENSMUST00000068088.7,0.000337527,0.0302442322,0.6060657926,0.8743681134
Itga7,ENSMUSG00000025348,ENSMUST00000099112.3,2.14351014406807E-06,0.0004077276,0.6048438939,0.8726052862
Agpat3,ENSMUSG00000001211,ENSMUST00000105387.7,3.79995079907795E-05,0.004919405,0.6033032972,0.870382675
Klhl30,ENSMUSG00000026308,ENSMUST00000027533.8,4.9908424542513E-07,0.0001066246,0.6019782873,0.8684710898
Mef2a,ENSMUSG00000030557,ENSMUST00000156690.7,6.70678286600426E-09,2.04835539518126E-06,0.6005576954,0.866421609
Zfp568,ENSMUSG00000074221,ENSMUST00000146074.7,0.0001257988,0.0135715661,0.6000515837,0.8656914441
Igf2r,ENSMUSG00000023830,ENSMUST00000024599.13,3.01591863129324E-08,8.02437884175195E-06,0.5983787805,0.8632780991
Tubb2b,ENSMUSG00000045136,ENSMUST00000075774.4,1.81597546849502E-05,0.0025699837,0.5980883012,0.8628590261
Wnk1,ENSMUSG00000045962,ENSMUST00000161243.1,0.0005016749,0.041600645,0.5966874263,0.8608379909
Otud1,ENSMUSG00000043415,ENSMUST00000052168.5,4.00037497518599E-06,0.0006884614,0.5893317955,0.8502260588
Six4,ENSMUSG00000034460,ENSMUST00000043208.7,0.00003447,0.0045164023,0.5883287946,0.8487790344
Creld1,ENSMUSG00000030284,ENSMUST00000129125.1,0.0004163101,0.035681725,0.5845890091,0.8433836643
Cap2,ENSMUSG00000021373,ENSMUST00000021802.15,1.09311919134208E-07,2.63374923385081E-05,0.5828169506,0.8408271244
Phkb,ENSMUSG00000036879,ENSMUST00000053771.13,0.0004334035,0.0364268918,0.5802501786,0.8371240551
Bin1,ENSMUSG00000024381,ENSMUST00000091967.11,1.21940555262215E-06,0.0002414813,0.5783379144,0.8343652411
Kcmf1,ENSMUSG00000055239,ENSMUST00000204598.2,3.24815039934583E-05,0.004284327,0.5745041548,0.8288342952
Asb5,ENSMUSG00000031519,ENSMUST00000033918.3,9.18019212310274E-08,2.2242220792561E-05,0.5656830055,0.8161080667
Naa50,ENSMUSG00000022698,ENSMUST00000063520.14,0.0002040679,0.0200397318,0.5647000491,0.8146899604
Prex1,ENSMUSG00000039621,ENSMUST00000036719.11,0.000128566,0.0137673536,0.5638288829,0.8134331332
Dtna,ENSMUSG00000024302,ENSMUST00000221880.1,2.84092948346592E-06,0.0005133678,0.5631359498,0.8124334422
Lrrn1,ENSMUSG00000034648,ENSMUST00000049285.9,0.0002050485,0.0200739237,0.563010179,0.8122519932
Actr1b,ENSMUSG00000037351,ENSMUST00000043951.9,6.95110132422897E-08,1.72264179045992E-05,0.5619821806,0.8107689051
Pold4,ENSMUSG00000024854,ENSMUST00000025773.3,7.9505327931708E-05,0.0092441463,0.559069367,0.8065666034
Pold4,ENSMUSG00000097508,ENSMUST00000180621.2,7.9505327931708E-05,0.0092441463,0.559069367,0.8065666034
Pdlim5,ENSMUSG00000028273,ENSMUST00000090134.11,0.000000119,2.83488861901097E-05,0.5553302563,0.8011722068
Aebp2,ENSMUSG00000030232,ENSMUST00000161335.7,0.0001840591,0.0184434296,0.5531193922,0.7979826041
Rapgef1,ENSMUSG00000039844,ENSMUST00000147488.1,1.6843441041242E-07,3.88554890700863E-05,0.550376886,0.794026004
Zfp52,ENSMUSG00000051341,ENSMUST00000079242.3,0.0002904054,0.0267401087,0.5501699261,0.793727424
Suox,ENSMUSG00000049858,ENSMUST00000054764.8,1.56033180045808E-05,0.0022632117,0.548633265,0.7915104907
Ttll7,ENSMUSG00000036745,ENSMUST00000037942.10,2.22856119312657E-06,0.0004148089,0.544693493,0.7858266011
Mtch1,ENSMUSG00000024012,ENSMUST00000118366.7,6.18527494624675E-06,0.0010009298,0.5388329937,0.7773716879
Gatad2a,ENSMUSG00000036180,ENSMUST00000116463.3,0.000220931,0.0213873985,0.5287933257,0.7628875087
Acot6,ENSMUSG00000043487,ENSMUST00000056822.3,0.0003199988,0.029155525,0.5273191622,0.7607607403
Ugcg,ENSMUSG00000028381,ENSMUST00000030074.7,0.000002175,0.0004101154,0.5266905691,0.7598538722
Igf2,ENSMUSG00000048583,ENSMUST00000000033.11,0.0005822658,0.0465909316,0.5250671987,0.7575118437
Ctsl,ENSMUSG00000021477,ENSMUST00000021933.7,0.0002060105,0.0201226747,0.5239751561,0.7559363592
Itgb8,ENSMUSG00000025321,ENSMUST00000026360.8,0.0003905559,0.0339439231,0.5211816761,0.7519062195
Trim63,ENSMUSG00000028834,ENSMUST00000105875.7,2.3847575036311E-05,0.0032729287,0.5210608108,0.7517318477
Abca5,ENSMUSG00000018800,ENSMUST00000043961.11,3.06580684000852E-05,0.0040785576,0.5169452106,0.7457942918
Bgn,ENSMUSG00000031375,ENSMUST00000033741.14,0.000065851,0.0078674677,0.515766279,0.744093453
Pbxip1,ENSMUSG00000042613,ENSMUST00000038942.9,0.000532978,0.043612681,0.5110958162,0.7373553994
Tgfb3,ENSMUSG00000021253,ENSMUST00000003687.7,1.26669333426312E-05,0.0018749223,0.5099510237,0.735703813
Tacc2,ENSMUSG00000030852,ENSMUST00000207395.1,1.00927385135662E-05,0.0015314362,0.5096458786,0.7352635817
Esyt1,ENSMUSG00000025366,ENSMUST00000026427.7,0.0004062225,0.0351645946,0.5048540976,0.728350503
Fxr1,ENSMUSG00000027680,ENSMUST00000001620.12,0.0006251651,0.0493857686,0.5046383272,0.7280392121
Nuak1,ENSMUSG00000020032,ENSMUST00000020220.14,9.60527924331194E-06,0.0014824603,0.5025820065,0.7250725685
Micu1,ENSMUSG00000020111,ENSMUST00000092508.11,0.0001478626,0.0153046577,0.5008702694,0.7226030538
Riok3,ENSMUSG00000024404,ENSMUST00000025270.6,1.43934294348548E-06,0.0002811841,0.5000646841,0.7214408399
Lbh,ENSMUSG00000024063,ENSMUST00000024857.12,1.36042683472695E-05,0.0020000119,0.4967512266,0.7166605312
Tom1,ENSMUSG00000042870,ENSMUST00000165630.2,3.40629578586118E-06,0.0006005189,0.4951281755,0.7143189634
Tulp4,ENSMUSG00000034377,ENSMUST00000149756.7,3.23089329866847E-06,0.0005814133,0.4918960747,0.7096560276
Rb1,ENSMUSG00000022105,ENSMUST00000022701.6,9.11857882468936E-06,0.0014174324,0.4907859927,0.7080545178
Stat5b,ENSMUSG00000020919,ENSMUST00000004143.2,0.0003354184,0.0301800027,0.4891367004,0.705675092
Ube2g2,ENSMUSG00000009293,ENSMUST00000174510.7,3.95706363233043E-06,0.0006864556,0.4879053739,0.7038986634
Zfp703,ENSMUSG00000085795,ENSMUST00000154256.2,3.91254351643833E-06,0.0006814582,0.4872174434,0.7029061894
Ssh2,ENSMUSG00000037926,ENSMUST00000037912.11,0.000009431,0.0014607648,0.4861555864,0.7013742536
Pde4b,ENSMUSG00000028525,ENSMUST00000106908.8,0.0005076042,0.0420119981,0.4851785439,0.6999646793
Mtor,ENSMUSG00000028991,ENSMUST00000103221.9,1.95149041631216E-05,0.0027240404,0.480684544,0.6934812079
Mb,ENSMUSG00000018893,ENSMUST00000169226.8,0.0001721099,0.0174618027,0.4734844791,0.68309371
Rcan1,ENSMUSG00000022951,ENSMUST00000023672.8,3.12606649323082E-05,0.0041460054,0.4709237209,0.6793993168
Rbbp7,ENSMUSG00000031353,ENSMUST00000112327.7,0.0003802211,0.0332275809,0.4684169213,0.6757827695
Ehd4,ENSMUSG00000027293,ENSMUST00000028755.7,2.85231889515202E-05,0.0038536517,0.4663270762,0.6727677603
Dnajc21,ENSMUSG00000044224,ENSMUST00000136591.7,0.0005498704,0.0446579211,0.4655148822,0.6715960121
Lgals1,ENSMUSG00000068220,ENSMUST00000089377.5,8.37987761466932E-06,0.0013120105,0.4638215446,0.6691530423
Nav2,ENSMUSG00000052512,ENSMUST00000184945.7,0.000072585,0.0086481811,0.4636616585,0.6689223753
Rora,ENSMUSG00000032238,ENSMUST00000034766.13,0.0005213217,0.0428204572,0.4624355265,0.6671534408
Tuba4a,ENSMUSG00000026202,ENSMUST00000079464.12,1.95341505998698E-05,0.0027240404,0.4539925565,0.6549728099
Il6st,ENSMUSG00000021756,ENSMUST00000070731.10,6.58047849485745E-05,0.0078674677,0.4507763184,0.6503327591
Msi2,ENSMUSG00000069769,ENSMUST00000107909.7,1.71681712539366E-05,0.0024573149,0.4483651749,0.6468542144
Tpcn1,ENSMUSG00000032741,ENSMUST00000046426.9,6.22605988571877E-05,0.007584775,0.4460363126,0.6434943763
Amotl1,ENSMUSG00000013076,ENSMUST00000013220.7,1.80507299729424E-05,0.0025666954,0.4458979954,0.6432948267
Map1b,ENSMUSG00000052727,ENSMUST00000064762.5,0.0002115825,0.0205742642,0.4425157029,0.6384152101
Bcl6,ENSMUSG00000022508,ENSMUST00000023151.5,2.57651863733762E-05,0.0035249538,0.4416693931,0.6371942431
Nt5dc3,ENSMUSG00000054027,ENSMUST00000099396.2,0.0001355702,0.01441065,0.4402364188,0.6351268982
Calcoco1,ENSMUSG00000023055,ENSMUST00000023818.10,0.0001245902,0.0134746977,0.4327153127,0.6242762358
Map1lc3a,ENSMUSG00000027602,ENSMUST00000154596.1,7.59355841444018E-05,0.0089979518,0.4286434873,0.6184018334
Synpo2l,ENSMUSG00000039376,ENSMUST00000119483.1,0.0001418933,0.0148939171,0.4273460644,0.6165300479
Tbc1d1,ENSMUSG00000029174,ENSMUST00000140960.2,0.0002852617,0.0264358879,0.4271144615,0.6161959156
Dync1li1,ENSMUSG00000032435,ENSMUST00000047404.6,0.0001316348,0.0140612553,0.4268379468,0.615796989
Glul,ENSMUSG00000026473,ENSMUST00000086199.11,7.77738031449154E-05,0.0091408457,0.4233850052,0.6108154474
Tead1,ENSMUSG00000055320,ENSMUST00000069256.11,0.0001724071,0.0174618027,0.4179898926,0.6030319452
Rras,ENSMUSG00000038387,ENSMUST00000044111.9,0.0001441276,0.0150256488,0.4159267106,0.6000554027
Cbx5,ENSMUSG00000009575,ENSMUST00000118152.7,0.0004973396,0.0413201534,0.4136622558,0.596788485
Cd63,ENSMUSG00000025351,ENSMUST00000026407.8,0.0001694624,0.0172929909,0.4053841181,0.5848456569
Btg2,ENSMUSG00000020423,ENSMUST00000020692.6,0.00030879,0.0282529803,0.402982578,0.5813809668
Hectd1,ENSMUSG00000035247,ENSMUST00000042052.8,0.0001421772,0.0148939171,0.4001839477,0.5773433968
Itgb5,ENSMUSG00000022817,ENSMUST00000115028.9,0.0001930972,0.0191634613,0.3969816549,0.5727234648
Acadsb,ENSMUSG00000030861,ENSMUST00000156261.1,0.0002852728,0.0264358879,0.3921929522,0.5658148272
Kif5b,ENSMUSG00000006740,ENSMUST00000025083.13,0.0001694649,0.0172929909,0.3901936533,0.5629304486
Sqstm1,ENSMUSG00000015837,ENSMUST00000102774.10,0.0002767707,0.0259249887,0.3889270949,0.561103191
Ywhag,ENSMUSG00000051391,ENSMUST00000055808.5,0.0003016546,0.0277170696,0.3860601896,0.556967121
Kpna1,ENSMUSG00000022905,ENSMUST00000004054.12,0.0002782158,0.0259482628,0.3845277382,0.554756261
Ldb3,ENSMUSG00000021798,ENSMUST00000090040.11,0.0003250951,0.0294343451,0.3832765874,0.552951232
Kremen1,ENSMUSG00000020393,ENSMUST00000020662.14,0.000514962,0.0424589085,0.3830833339,0.5526724261
Cfl2,ENSMUSG00000062929,ENSMUST00000078124.7,0.0002775685,0.0259436797,0.3830482425,0.5526217999
Tspan3,ENSMUSG00000032324,ENSMUST00000034876.9,0.0002562536,0.0242123384,0.3808102221,0.5493930189
Tmod1,ENSMUSG00000028328,ENSMUST00000107773.2,0.0003249753,0.0294343451,0.3797080995,0.5478029922
Tspan9,ENSMUSG00000030352,ENSMUST00000112173.7,0.000355555,0.0313415937,0.3794645344,0.547451602
Tmem182,ENSMUSG00000079588,ENSMUST00000114765.3,0.0004110965,0.0354171801,0.3681955198,0.5311938505
Mdh2,ENSMUSG00000019179,ENSMUST00000138101.1,0.0005291173,0.0433786146,-0.3689989927,-0.5323530169
Sdhb,ENSMUSG00000009863,ENSMUST00000010007.8,0.0003273896,0.0295803319,-0.3736537254,-0.5390683767
Atp5b,ENSMUSG00000025393,ENSMUST00000126751.1,0.0004208672,0.0357885198,-0.3754285182,-0.5416288615
Atp5l,ENSMUSG00000038717,ENSMUST00000043675.8,0.0003857552,0.033594012,-0.3771473676,-0.544108637
Got1,ENSMUSG00000025190,ENSMUST00000026196.13,0.0003461677,0.0307013228,-0.3788874092,-0.5466189864
Ndufv3,ENSMUSG00000024038,ENSMUST00000064798.14,0.0003445004,0.0306160574,-0.3791453365,-0.5469910967
Ppp1r3a,ENSMUSG00000042717,ENSMUST00000045096.5,0.0003042243,0.0278940852,-0.3810667951,-0.5497631756
