Gene name,ensembl_gene_id,target_id,pval,qval,b,Log2
Camta2,ENSMUSG00000040712,ENSMUST00000108545.8,8.59045219738199E-06,0.0161443232,5.4968755404,7.9303150825
Dda1,ENSMUSG00000074247,ENSMUST00000135052.7,6.5490935217943E-06,0.0128430571,5.1054099351,7.365549595
Arpp21,ENSMUSG00000032503,ENSMUST00000162082.7,0.000036716,0.0443996717,4.5104723351,6.5072360699
Scn5a,ENSMUSG00000032511,ENSMUST00000065196.12,1.13870611557245E-08,7.33717151953998E-05,3.7043675972,5.3442727622
Cited1,ENSMUSG00000051159,ENSMUST00000050551.9,4.04376215635139E-10,4.55974620750183E-06,3.6106583854,5.209078947
Myog,ENSMUSG00000026459,ENSMUST00000027730.5,4.50865351469427E-09,3.38930513544617E-05,3.1677804675,4.570141171
Slc22a3,ENSMUSG00000023828,ENSMUST00000024595.2,3.59772597987884E-14,8.11359162982275E-10,2.529868842,3.6498292325
Myod1,ENSMUSG00000009471,ENSMUST00000072514.2,1.72261373032216E-06,0.0045703982,2.4935745529,3.5974676416
Otog,ENSMUSG00000009487,ENSMUST00000209802.1,2.51984673986575E-06,0.006314176,1.7482858014,2.5222432558
Slc41a3,ENSMUSG00000030089,ENSMUST00000032177.9,1.05806621519241E-06,0.0031815346,1.6843147553,2.4299525448
Alpl,ENSMUSG00000028766,ENSMUST00000030551.10,1.37560662244122E-11,2.06817870328629E-07,1.6777220776,2.4204413213
Adamtsl2,ENSMUSG00000036040,ENSMUST00000139633.1,3.3233630681178E-08,0.000149897,1.5753501461,2.2727498434
Atoh8,ENSMUSG00000037621,ENSMUST00000206425.1,5.32421147924435E-07,0.0018472557,1.2651745967,1.8252611165
Srxn1,ENSMUSG00000032802,ENSMUST00000041500.7,3.90049507151008E-21,1.75927929705391E-16,1.020242431,1.4718986958
Trp63,ENSMUSG00000022510,ENSMUST00000115305.1,1.6092130992114E-06,0.0045363717,0.9723073238,1.4027429542
Smad3,ENSMUSG00000032402,ENSMUST00000034973.9,9.58714217276216E-06,0.0172967384,0.8859378578,1.278138154
Lss,ENSMUSG00000033105,ENSMUST00000048678.6,0.000022933,0.0333667965,0.7325505143,1.0568469942
Elovl1,ENSMUSG00000006390,ENSMUST00000067896.3,5.31670227770211E-06,0.0118980218,0.7294249532,1.0523377627
Sprr1a,ENSMUSG00000050359,ENSMUST00000054599.7,3.42347151713008E-09,3.0882451861727E-05,0.6820722257,0.9840222176
1810055G02Rik,ENSMUSG00000035372,ENSMUST00000039048.1,6.82086541261566E-07,0.002197488,0.6737912539,0.9720753006
Nfil3,ENSMUSG00000056749,ENSMUST00000071065.7,2.97456998052682E-08,0.0001490722,0.6351663435,0.9163513339
Mat2a,ENSMUSG00000053907,ENSMUST00000059472.9,4.82150803003551E-07,0.0018122442,0.5787231522,0.8349210217
Mat2a,ENSMUSG00000104463,ENSMUST00000193334.2,4.82150803003551E-07,0.0018122442,0.5787231522,0.8349210217
Hdac4,ENSMUSG00000026313,ENSMUST00000097644.8,5.53960753356845E-06,0.0118980218,0.5411620677,0.7807318313
Mat2a,ENSMUSG00000053907,ENSMUST00000205335.1,1.50159403442248E-05,0.0233544474,0.5000377217,0.7214019413
Mat2a,ENSMUSG00000104463,ENSMUST00000206765.1,1.50159403442248E-05,0.0233544474,0.5000377217,0.7214019413
Gsdma,ENSMUSG00000017204,ENSMUST00000017348.2,6.11171180843237E-06,0.0125301204,0.4866426884,0.7020769933
Sacs,ENSMUSG00000048279,ENSMUST00000119943.7,3.36174474901849E-05,0.0421189264,-0.8373002772,-1.2079689576
Mlxipl,ENSMUSG00000005373,ENSMUST00000005507.9,2.77825713024647E-06,0.00659529,-0.8649134812,-1.2478063902
Idh2,ENSMUSG00000030541,ENSMUST00000139178.7,3.74066052767319E-05,0.0443996717,-0.8717186142,-1.2576241218
Timp4,ENSMUSG00000030317,ENSMUST00000032462.8,3.16837187002333E-05,0.0410599878,-0.9608457629,-1.3862074172
Carns1,ENSMUSG00000075289,ENSMUST00000167055.1,2.87876230035121E-05,0.0393465742,-1.0779355174,-1.5551322254
Carns1,ENSMUSG00000097064,ENSMUST00000181869.2,2.87876230035121E-05,0.0393465742,-1.0779355174,-1.5551322254
Esrrg,ENSMUSG00000026610,ENSMUST00000027906.12,1.27697696404317E-05,0.0221254608,-1.4659342452,-2.1148960659
Fhl3,ENSMUSG00000032643,ENSMUST00000038684.5,1.80447446034922E-05,0.027129672,-1.5254656028,-2.2007816602
Snai3,ENSMUSG00000006587,ENSMUST00000006762.6,2.16144646968637E-08,0.0001218624,-1.9128389435,-2.7596432577
Pdp1,ENSMUSG00000049225,ENSMUST00000108301.7,1.3244666582676E-05,0.0221254608,-4.7557296164,-6.8610675334
Fam198b,ENSMUSG00000027955,ENSMUST00000118853.7,3.18619096249936E-05,0.0410599878,-5.5192561988,-7.9626035473
